Node,Biomass,Geothermal,RoR,WindOnshore,WindOffshore,PV
324,28.51956436,0,7.944736841,43.14596543,0,200.0549959
325,61.0732443,0,16.68306232,38.12810474,0,352.1155594
326,25.86919724,0,7.237294402,41.82175102,0,218.5665662
327,10.85095789,0,9.309509416,11.99287351,0,79.09147806
328,36.90042377,0,9.670299943,251.1140296,0,256.9492275
329,18.44145228,0,7.841010192,26.6778457,0,242.7714342
330,35.87356827,0,2.687685977,11.65409592,0,220.1505529
331,48.95786834,0,1.933743721,7.102168458,0,34.58850148
332,2.494056341,0,0.010194671,2.202420402,0,21.32189137
333,19.96160323,0,0.327869885,266.6319747,0,98.36862974
334,11.37118082,0,5.66313971,168.902479,0,114.2342364
335,21.40541015,0,6.688389964,164.2670879,0,141.5821383
336,46.4297496,0,8.588648088,1386.086717,0,593.3425382
337,27.48121358,0,1.802909501,199.6644011,0,148.2561575
338,38.32967329,0,4.322665573,980.134485,0,268.7839866
339,80.42931277,0,8.557962865,151.0547823,0,248.5934462
340,13.9865198,0,4.052875885,7.520625317,0,41.47442611
341,0,0,0,0,0,0
342,1.228430052,0,7.324186231,13.81810873,0,16.53935127
343,2.151092982,0,13.47004279,4.201276001,0,19.76325924
344,5.851994764,0,0.224301334,10.33644419,0,41.79806185
345,86.98013307,0,3.045413981,243.0697715,0,385.1387824
346,19.66670781,0,2.885512052,78.50380878,0,124.4791337
347,14.58764629,0,3.161651917,20.25707162,0,42.61193261
348,8.506129064,0,7.440025409,56.80637665,0,55.2001891
349,22.33030371,0,26.36707043,106.0159398,0,79.38589423
350,45.92183765,0,8.437717744,280.9971274,0,218.2567046
351,20.688954,0,126.7376308,24.58767292,0,44.11963762
352,16.14936092,0,1.070665035,151.2744355,0,228.0219664
353,13.26349646,0,1.159388674,93.6645057,0,66.17871345
354,20.18039342,0,5.291517697,69.92283577,0,184.4269473
355,0,0,17.8,0,0,0
356,7.892462028,0,0,95.27000112,0,61.81283173
357,16.98549035,0,2.711991689,228.9303093,0,464.5399198
358,100.084921,0,0.028779537,1259.376857,0,476.2152141
359,58.57388248,0,0,621.793563,0,158.8874177
360,0,0,0,0,0,0
361,1.43784835,0,0,3.446808511,0,8.455428019
362,28.22512834,0,0,294.5199191,0,413.0435954
363,0.15666307,0,0,0,0,9.32279447
364,30.16573974,0,0,5.553191489,0,36.76445528
365,23.97008233,0,0.008633861,544.4290669,0,127.5818047
366,18.96282744,0,0.595649202,148.0244928,0,82.76335099
367,0.948209872,0,0,0,0,5.848408783
368,45.84298585,0,0.031395858,959.8910316,0,258.4048049
369,1.669656588,0,0,0,0,3.269938848
370,2.547235313,0,0,0,0,12.68901252
371,6.268647063,0,0,0,0,8.217962077
372,24.87099317,0,0.169188792,218.2055969,0,262.8014691
373,35.99674385,0,4.211628897,526.8073168,0,208.3190513
374,17.85253464,0,0.217414471,174.3428247,0,99.29595157
375,38.06262016,0,0.341651312,465.0923207,0,173.9585613
376,14.93744608,0,7.278284084,14.89954138,0,92.85014715
377,13.69701553,0,11.5354165,178.598879,0,59.10413715
378,0,0,0,0,0,0
379,0,0,16.4,0,0,0
380,0,0,0,0,0,0
381,16.09557318,0,0.085810964,275.2122436,0,46.15961085
382,5.720509606,0,0.424007118,13.04117408,0,10.40893116
383,76.17761569,0,4.624706205,462.2411549,0,96.61531802
384,22.07915988,0,1.612741358,87.37586632,0,44.35826381
385,4.964451649,0,0.007571556,12.06308602,0,22.64376723
386,62.51230378,0,5.582760383,333.3921815,0,162.6940517
387,0,0,0,0,0,0
388,7.517704382,0,8.782997471,37.42809849,0,61.23641601
389,92.39548927,0,0.774822531,441.1872661,0,114.1897685
390,52.54298361,0,0,267.6211935,0,250.1353227
391,33.90345702,0,0.007571556,100.1779522,0,163.3714379
392,97.61388485,0,0.193327055,413.7365727,0,299.5057795
393,57.50638547,0,0.151431113,332.5551554,0,225.7260077
394,0,0,0,0,0,0
395,53.2054004,0,0,348.4273511,800,123.2779738
396,0,0,0,0,512,0
397,0,0,0,0,0,0
398,11.67785158,0,0,46.11685183,0,16.38730209
399,5.638943529,0,0.333461835,121.1684844,0,28.06788097
400,55.9826169,0,9.656257335,219.4027565,0,87.29259418
401,1.547336268,0,9.666538165,43.10298324,0,10.8511603
402,0.298720203,0,0,9.692532369,0,1.890958724
403,0,0,0,0,0,0
404,32.18022856,0,0,601.3171257,0,68.11086223
405,82.00425895,0,0,986.0809914,0,247.0491196
406,25.21172992,0,0,404.7923922,0,70.03286315
407,0,0,0,0,0,0
408,6.400562847,0,0,520.8264559,168,39.51867098
409,23.64439511,0,0,360.8214655,0,40.94050926
410,6.720565829,0,0,109.617958,0,51.39411348
411,26.05701993,0,0.715259626,99.00424654,0,35.05762997
412,15.29733109,0,0.161689259,81.76708234,0,65.95933066
413,12.1869992,0,0,69.46555255,0,29.15647834
414,44.083,0,0.11,63.147,0,37.64
415,36.94412408,0,0.18980913,25.71345012,0,36.80034744
